Creede,Cercocarpus,henricksonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creede,Ribes,lacustroides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creede,Populus,larsenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creede,Sorbus,potentilloides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creede,Salix,sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creede,Holodiscus,stevenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creede,Legume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daiye Spa,,FU744,Currano et al 2010,Petiolate,,Simple,,,,Marginal,,,,,,,,1-1.5,present,,present,,,,Symmetrical,Symmetrical,Unlobed,Serrate,,Acute,,,,,present,,,Reflex,,,,,,,,,present,,,,,,,Smooth,,Pinnate,absent,5,Compound,Craspedodromous,Absent,,Absent,Decreasing proximally,Abruptly increasing proximally,Excurrent,,,,,,Percurrent,Opposite percurrent - Straight,Obtuse,Increasing exmedially - basally concentric,Opposite percurrent,Parallel to the intercostal tertiaries,Parallel to intercostal tertiary,Terminating at the margin,Mixed percurrent,Irregular reticulate,Moderate Development,Dendritic with two or more branches,Simple,Incomplete,Regular,2,5-7,Angular,CV CV,FL CV,FL FL,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daiye Spa,,FU745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daiye Spa,,FU749,Currano et al 2010,,,Compound,,,,Marginal,,,,,,,,>2,present,,present,,,,Varies,Asymmetrical,Unlobed,Untoothed,,Acute,,,,,present,,,Acute to Obtuse,,,present,present,,,,,,,,,,,,Smooth,,Pinnate,absent,1,Absent,Eucamptodromous becoming brochidodromous distally,Absent,,Fimbrial vein,Decreasing proximally,Abruptly increasing proximally,Decurrent,,,,,,Percurrent,Alternate percurrent,Obtuse,Inconsistent,Mixed,,,Looped,Irregular reticulate,Irregular reticulate,Good Development,Dendritic with two or more branches,Simple,Absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daiye Spa,,FU750,Currano et al 2010,Petiolate,,Pinnately compound,Alternate,Petiolulate,Pulvinate,Marginal,,,,,,,,2.5,,,present,,,,Asymmetrical,Width Asymmetrical,Unlobed,Untoothed,,Acute,present,,,,,,,Acute,,,,present,,,,,,,,,,,,smooth,,Pinnate,absent,1,Absent,Simple Brochidodromous,Absent,,Fimbrial vein,Irregular,Abruptly increasing proximally,Excurrent,Present,Parallel to major secondaries,Less than 50% of subjacent secondary,Basiflexed but not joining the subjacent secondary at right angles,Less than one per intercostal area,Percurrent,Opposite percurrent,Obtuse,Inconsistent,Mixed,,,Looped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daiye Spa,Cercidiphyllum,genetrix,Matt from picture in Wing and Currano 2013,Petiolate,,Simple,,,,Marginal,,,,,,,,.66-1,present,,present,,,,Symmetrical,Symmetrical,Unlobed,Crenate (dentate),,Acute to Obtuse,,,,present,present,,,obtuse,,,present,present,,,,,,,,,,,,,,Suprabasal actinodromous,absent,3,Absent,Semicraspedodromous,,Semicraspedodromous,,Irregular,Uniform,Excurrent,Present,Parallel to major secondaries,Less than 50% of subjacent secondary,,,Regular reticulate,,,,Reticulate,,,,Regular reticulate,,Moderate Development,Mostly unbranched,Simple,,Regular,1,2-4,Angular,CV CV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daiye Spa,Macginitiea,gracilis,Azevedo Schmidt 2019,Petiolate,,,,,,Marginal,,,,,,,,1,present,,present,,,,Symmetrical,Symmetrical,Palmately Lobed,Untoothed,,Acute,present,present,,,,,,obtuse,,present,,,,,,,,,,,,,,,,Palinactinodromous,absent,3,Absent,Semicraspedodromous,Present,,Absent,Gradually increasing proximally,Smoothly decreasing proximally,Decurrent,Present,Perpendicular to midvein,Less than 50% of subjacent secondary,Perpendicular to a subjacent major secondary,More than one per intercostal area,Percurrent,Mixed percurrent,Obtuse,Consistent,Opposite percurrent,Obtuse to the midvein,basiflexed,,Alternate percurrent,Regular reticulate,Moderate Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daiye Spa,Platanus,raynoldsii,Matt from Wind River paper,Petiolate,,Compound,,,,Marginal,,,,,,,,1,,,present,,,,Symmetrical,Symmetrical,Palmately Lobed,Serrate,,Acute,present,,,,,,,Obtuse,,,,,present,present,,,,,,,,,,,,Basal actinodromous,absent,3,simple,Craspedodromous,Absent,Craspedodromous,,Gradually increasing proximally,Uniform,Excurrent,Absent,,,,,Percurrent,Mixed percurrent,Obtuse to perpendicular,Increasing exmedially,Opposite percurrent,Perpendicular to the midvein,Parallel to intercostal tertiary,Looped,Mixed percurrent,Regular reticulate,Good Development,Mostly with one branch,Simple,Looped,Irregular,1,2-3,Angular,ST ST,CC ST,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Platypus,Averrhoites,affinis,Azevedo Schmidt 2019,Petiolate,,,,,,Marginal,,,,,,,,2,present,,,,,,Asymmetrical,Width Asymmetrical,Unlobed,Untoothed,,Obtuse,,,present,,,,,Acute,,,present,,,,,,,,,,,,,,,pinnate,absent,1,Absent,Simple Brochidodromous,Absent,Semicraspedodromous,Absent,Irregular,Abruptly increasing proximally,Decurrent,,,,,,Percurrent,Alternate percurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Platypus,Davidia,antiqua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Platypus,Davidia,antique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Platypus,Zizyphoides,flabella,Matt from picture in Currano et al 2010,Petiolate,,SImple,,,,Marginal,,,,,,,,1 -1.3,present,,,,,,Symmetrical,Width Asymmetrical,Unlobed,Untoothed,,Obtuse,present,,,,,,,obtuse,,,present,,,,,,,,,,,,,,,Basal actinodromous,absent,5,absent,Festooned brochidodromous,Present,Simple brochidodromous,,Gradually increasing proximally,Uniform,Excurrent,Present,Parallel to major secondaries,,,Less than one per intercostal area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Platypus,,FU736,Currano et al 2010,Petiolate,,,,,,Marginal,,,,,,,,1.4,,,present,,,,Symmetrical,Symmetrical,Unlobed,Serrate,,Acute,present,,,,,,,Obtuse,,,,present,,,,,,,,,,,,,,pinnate,absent,,absent,Semicraspedodromous,Absent,,Absent,Decreasing proximally,Smoothly increasing proximally,Excurrent,,,,,,Percurrent,Opposite percurrent - Straight,Obtuse,Decreasing exmedially,Opposite percurrent,Parallel to the intercostal tertiaries,Parallel to intercostal tertiary,,,,,,,,Regular,1,4-5,Angular,ST CC,FL CC,,,Present,At the apex of tooth,Straight or concave to principal vein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Platypus,,FU739,Currano et al 2010,Petiolate,,,,,,Marginal,,,,,,,,1.3,,,present,,,,Symmetrical,Symmetrical,Unlobed,Dentate,,Acute,,,,,present,,,Obtuse,,,,present,,,,,,,,,,,,Smooth,,Palinactinodromous,,2,Simple,Semicraspedodromous,Absent,Craspedodromous,Absent,Irregular,Inconsistent,Excurrent,,,,,,Percurrent,Opposite percurrent - Straight,Perpendicular,,Opposite percurrent,Parallel to the intercostal tertiaries,Parallel to intercostal tertiary,,,,,,,,Regular,1,2-3,Angular,CV ST,FL ST,FL FL,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Platypus,,FU741,Currano et al 2010,Petiolate,,Simple,,,,Marginal,,,,,,,,1.5-2,,,present,,,,Symmetrical,Asymmetrical,Unlobed,Serrate,,Acute,,,,,present,,,Obtuse,,,present,present,,,,,,,,,,,,smooth,,Pinnate,absent,3,Compound,Craspedodromous,Absent,Craspedodromous,Absent,Regular,Uniform,Excurrent,,,,,,Percurrent,Opposite percurrent,Obtuse,Increasing proximally,Opposite percurrent,Parallel to the intercostal tertiaries,Parallel to intercostal tertiary,Terminating at the margin,Regular reticulate,Regular reticulate,Good Development,,,Incomplete,Regular,2,5-10,Angular,CV ST,CV RT,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Platypus,,FU745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Platypus,Cercidiphyllum,genetrix,Matt from picture in Wing and Currano 2013,Petiolate,,Simple,,,,Marginal,,,,,,,,.66-1,present,,present,,,,Symmetrical,Symmetrical,Unlobed,Crenate (dentate),,Acute to Obtuse,,,,present,present,,,obtuse,,,present,present,,,,,,,,,,,,,,Suprabasal actinodromous,absent,3,Absent,Semicraspedodromous,,Semicraspedodromous,,Irregular,Uniform,Excurrent,Present,Parallel to major secondaries,Less than 50% of subjacent secondary,,,Regular reticulate,,,,Reticulate,,,,Regular reticulate,,Moderate Development,Mostly unbranched,Simple,,Regular,1,2-4,Angular,CV CV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Platypus,Platanus,raynoldsii,Matt from Wind River paper,Petiolate,,Compound,,,,Marginal,,,,,,,,1,,,present,,,,Symmetrical,Symmetrical,Palmately Lobed,Serrate,,Acute,present,,,,,,,Obtuse,,,,,present,present,,,,,,,,,,,,Basal actinodromous,absent,3,simple,Craspedodromous,Absent,Craspedodromous,,Gradually increasing proximally,Uniform,Excurrent,Absent,,,,,Percurrent,Mixed percurrent,Obtuse to perpendicular,Increasing exmedially,Opposite percurrent,Perpendicular to the midvein,Parallel to intercostal tertiary,Looped,Mixed percurrent,Regular reticulate,Good Development,Mostly with one branch,Simple,Looped,Irregular,1,2-3,Angular,ST ST,CC ST,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,1,19,,,,,,,Marginal,,,,,,,,,present,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Craspedodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,2,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,5,16,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Semicraspedodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,6,32,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palmate,,,Absent,Semicraspedodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,7,30,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Eucamptodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,8,14,,,,,,,Marginal,,,,,,,,,,,,,,,,,Palmately Lobed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,cf Sassafras,10,14,,,,,,,Marginal,,,,,,,,,,,,,,,,,Palmately Lobed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,13,31,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palmate,,,Present,Semicraspedodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,16,15,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Present,Semicraspedodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,17,14,,,,,,,Marginal,,,,,,,,,,,,,,,,,Palmately Lobed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,22,16,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Semicraspedodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,23,16,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Semicraspedodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,24,17,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Present,Craspedodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,25,22,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Present,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,29,24,,,,,,,Marginal,,,,,,,,,present,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,30,26,,,,,,,Marginal,,,,,,,,,,present,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,31,26,,,,,,,Marginal,,,,,,,,,,present,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,35,23,,,,,,,Marginal,,,,,,,,,,,present,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,36,16,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Semicraspedodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,37,26,,,,,,,Marginal,,,,,,,,,,present,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,39,16,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Semicraspedodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,42,24,,,,,,,Marginal,,,,,,,,,present,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,43,24,,,,,,,Marginal,,,,,,,,,present,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,51,21,,,,,,,Marginal,,,,,,,,,,present,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Craspedodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,52,24,,,,,,,Marginal,,,,,,,,,present,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,53,30,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Eucamptodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,54,35,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palmate,,,Present,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,55,24,,,,,,,Marginal,,,,,,,,,present,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,58,24,,,,,,,Marginal,,,,,,,,,present,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,59,24,,,,,,,Marginal,,,,,,,,,present,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,64,24,,,,,,,Marginal,,,,,,,,,present,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,65,24,,,,,,,Marginal,,,,,,,,,present,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,66,24,,,,,,,Marginal,,,,,,,,,present,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,68,30,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Absent,Eucamptodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Basin,,70,29,,,,,,,Marginal,,,,,,,,,,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnate,,,Present,Eucamptodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
